contour_id,hand,finger,point_idx,x,y,x_mm,y_mm
0,left,Middle,0,374,218,-50.395101281817496,-15.81743086488262
0,left,Middle,1,362,218,-53.619525692213315,-15.903951002653855
0,left,Middle,2,361,219,-53.883528245201305,-15.634737955599755
0,left,Middle,3,360,219,-54.15233974707135,-15.641941462135806
0,left,Middle,4,359,220,-54.41629519087889,-15.372756636802716
0,left,Middle,5,358,220,-54.6851151484533,-15.379950929336147
0,left,Middle,6,356,222,-55.21289465263227,-14.841675632030165
0,left,Middle,7,355,222,-55.48171314443139,-14.848851010137532
0,left,Middle,8,351,226,-56.5367865046901,-13.772716475259603
0,left,Middle,9,351,228,-56.52660072884603,-13.22064255480899
0,left,Middle,10,350,229,-56.79022178727369,-12.951798739567534
0,left,Middle,11,350,230,-56.785103296547824,-12.675895883853897
0,left,Middle,12,348,232,-57.31217970000883,-12.138416821624842
0,left,Middle,13,348,233,-57.30700791342265,-11.862666642981079
0,left,Middle,14,347,234,-57.57046330284666,-11.594031334099515
0,left,Middle,15,347,236,-57.56006864610755,-11.042798781448273
0,left,Middle,16,346,237,-57.823432649131476,-10.774296180478544
0,left,Middle,17,346,241,-57.80254780899102,-9.672711561734221
0,left,Middle,18,345,242,-58.0657662361125,-9.404436332636788
0,left,Middle,19,345,260,-57.971512724690996,-4.459523692192454
0,left,Middle,20,346,261,-57.698384789526436,-4.178564644041639
0,left,Middle,21,346,271,-57.64646594026693,-1.4400708187318632
0,left,Middle,22,350,275,-56.555873640317344,-0.31969165186971144
0,left,Middle,23,351,275,-56.288455335953245,-0.31304840546595947
0,left,Middle,24,352,276,-56.016041576180974,-0.03315733061949521
0,left,Middle,25,354,276,-55.481351807880074,-0.019893046401664755
0,left,Middle,26,355,277,-55.20910551365799,0.2598999394574827
0,left,Middle,27,361,277,-53.60574886719381,0.29961946685441493
0,left,Middle,28,362,276,-53.343319258881905,0.03314606726419592
0,left,Middle,29,369,276,-51.47349379099524,0.07953164992198196
0,left,Middle,30,370,275,-51.21095891174827,-0.18691246297548225
0,left,Middle,31,372,275,-50.676866784887444,-0.17364446470035405
0,left,Middle,32,373,274,-50.41427558220379,-0.4401068596935489
0,left,Middle,33,374,274,-50.147246949349366,-0.43346402225123437
0,left,Middle,34,375,273,-49.884609197239776,-0.6999542155940691
0,left,Middle,35,376,273,-49.617588927289006,-0.6933023132494982
0,left,Middle,36,377,272,-49.354904619723165,-0.9598203082581191
0,left,Middle,37,381,272,-48.286965817066346,-0.9331791487193463
0,left,Middle,38,382,271,-48.02420564126535,-1.1996963909014997
0,left,Middle,39,383,271,-47.757256510196804,-1.1930277140369734
0,left,Middle,40,384,270,-47.49444977232194,-1.459572758751242
0,left,Middle,41,385,270,-47.22750901011479,-1.452895015010799
0,left,Middle,42,386,269,-46.96465570413433,-1.7194678655738198
0,left,Middle,43,387,269,-46.697723312689476,-1.7127810536672208
0,left,Middle,44,393,263,-45.11977157042783,-3.3129452504608023
0,left,Middle,45,393,261,-45.12753198921783,-3.8601588755078806
0,left,Middle,46,394,260,-44.86435685560132,-4.1270775562264
0,left,Middle,47,394,258,-44.87206626785908,-4.6746129011446325
0,left,Middle,48,395,257,-44.6087999997502,-4.941662935340599
0,left,Middle,49,395,249,-44.63945253743513,-7.134461993174052
0,left,Middle,50,396,248,-44.37593206978965,-7.401925885175928
0,left,Middle,51,396,237,-44.41786345905915,-10.423518113111617
0,left,Middle,52,395,236,-44.689372024035954,-10.705566099169776
0,left,Middle,53,395,234,-44.69706396424927,-11.255826551535327
0,left,Middle,54,393,232,-45.24042211295634,-11.820426937646166
0,left,Middle,55,393,231,-45.244327064960835,-12.095778436042737
0,left,Middle,56,392,230,-45.51614791189024,-12.378263514700828
0,left,Middle,57,392,229,-45.52008259805115,-12.653740133959884
0,left,Middle,58,391,228,-45.792007677193524,-12.936371126751972
0,left,Middle,59,390,228,-46.0600155293011,-12.943468459131738
0,left,Middle,60,387,225,-46.876382233932866,-13.791863331625287
0,left,Middle,61,386,225,-47.144547660126435,-13.798993048587699
0,left,Middle,62,385,224,-47.416867222671264,-14.081958769308367
0,left,Middle,63,384,224,-47.68509741756602,-14.089099618371385
0,left,Middle,64,383,223,-47.95753896354056,-14.372154442783877
0,left,Middle,65,382,223,-48.22583395589125,-14.379306431215563
0,left,Middle,66,381,222,-48.49839755334926,-14.662450404012056
0,left,Middle,67,380,222,-48.76675737192886,-14.669613539086008
0,left,Middle,68,379,221,-49.0394430889729,-14.952846704989028
0,left,Middle,69,378,221,-49.30786776257262,-14.960020993984394
0,left,Middle,70,376,219,-49.85355926072023,-15.526744407266296
0,left,Middle,71,375,219,-50.12209538550186,-15.533940534353764
